0,94,63,28
1,296,248,270
2,17,69,96
3,197,176,112
4,157,173,182
5,60,47,12
6,216,259,227
7,97,20,70
8,38,45,14
9,75,17,21
10,119,158,137
11,272,210,245
12,175,199,115
13,27,56,76
14,59,97,3
15,45,7,94
16,61,88,0
17,109,199,153
18,222,247,201
19,66,23,41
20,80,63,41
21,31,57,9
22,68,37,42
23,86,52,10
24,3,79,45
25,147,162,180
26,2,69,21
27,33,63,50
28,42,0,98
29,43,25,2
30,294,249,200
31,131,143,175
32,97,40,28
33,298,245,202
34,296,244,207
35,251,233,280
36,33,77,92
37,253,287,227
38,258,263,233
39,245,263,216
40,205,258,228
41,14,91,48
42,216,251,282
43,121,115,169
44,280,271,219
45,113,146,133
46,65,82,21
47,85,34,62
48,80,48,79
49,252,229,275
50,286,231,272
51,23,81,75
52,129,119,184
53,185,153,139
54,217,285,225
55,225,293,265
56,108,162,199
57,164,193,130
58,274,242,200
59,21,93,19
60,210,274,230
61,135,155,187
62,199,177,118
63,176,150,102
64,37,88,8
65,163,138,102
66,242,272,202
67,297,262,288
68,3,67,44
69,133,178,141
70,250,218,220
71,12,69,45
72,282,261,251
73,190,158,104
74,294,220,247
75,255,215,280
76,77,10,20
77,217,248,292
78,264,215,291
79,21,94,64
80,150,112,120
81,125,155,109
82,80,79,49
83,166,151,136
84,106,135,164
85,247,293,223
86,222,296,214
87,91,55,61
88,138,168,111
89,28,97,3
90,174,183,142
91,122,114,149
92,133,169,196
93,218,265,245
94,192,177,121
95,244,273,292
96,120,155,196
97,224,212,264
98,118,163,125
99,263,284,233
100,192,106,158
101,38,68,5
102,186,155,178
103,35,54,79
104,158,182,176
105,293,274,218
106,278,258,280
107,25,10,97
108,47,2,75
109,274,236,280
110,155,105,160
111,76,18,85
112,6,69,49
113,252,296,270
114,205,261,283
115,244,231,280
116,111,148,132
117,46,65,86
118,282,232,275
119,85,59,77
120,213,220,280
121,4,93,40
122,295,234,240
123,219,252,228
124,135,180,169
125,97,71,5
126,70,3,89
127,268,284,204
128,30,86,1
129,65,13,35
130,189,135,143
131,267,288,248
132,289,242,222
133,34,75,80
134,7,56,81
135,173,143,121
136,149,187,172
137,92,30,78
138,93,40,22
139,259,201,239
140,92,49,76
141,60,91,8
142,128,189,178
143,139,101,168
144,223,286,262
145,41,30,79
146,8,47,92
147,2,89,56
148,121,191,167
149,230,288,250
150,172,159,108
151,21,95,72
152,103,186,158
153,164,100,143
154,206,225,281
155,195,153,134
156,107,161,191
157,36,17,64
158,95,17,57
159,181,135,100
160,174,136,155
161,16,24,45
162,296,264,236
163,140,131,113
164,166,141,119
165,57,74,36
166,199,159,179
167,13,95,66
168,91,25,59
169,15,42,81
170,80,1,62
171,88,28,61
172,257,211,287
173,51,21,82
174,146,179,193
175,48,70,80
176,160,197,158
177,273,214,298
178,224,296,205
179,31,17,60
180,27,45,64
181,172,135,187
182,286,214,224
183,265,247,288
184,143,173,101
185,216,238,291
186,67,5,26
187,256,268,221
188,226,291,205
189,165,126,148
190,90,0,53
191,138,113,159
192,214,222,278
193,258,211,296
194,292,231,209
195,268,200,299
196,245,268,225
197,202,273,239
198,299,220,216
199,132,163,185
200,231,281,268
201,82,1,64
202,273,203,226
203,97,46,75
204,66,6,28
205,214,227,275
206,262,294,213
207,255,279,228
208,271,255,206
209,159,122,192
210,280,253,214
211,125,185,156
212,103,127,150
213,250,202,225
214,246,290,207
215,61,7,56
216,124,150,168
217,137,110,144
218,123,101,146
219,283,216,242
220,30,41,95
221,35,44,76
222,50,28,2
223,210,260,232
224,15,71,32
225,109,126,179
226,44,12,80
227,232,214,263
228,21,98,69
229,173,146,117
230,72,50,7
231,248,224,281
232,90,43,34
233,60,30,51
234,238,287,240
235,135,154,105
236,145,187,160
237,289,243,232
238,95,21,75
239,40,89,61
240,297,268,201
241,103,189,144
242,140,197,109
243,298,206,221
244,253,213,263
245,298,273,232
246,141,180,105
247,116,180,155
248,260,240,205
249,2,73,35
250,135,141,104
251,95,21,61
252,226,272,290
253,271,202,282
254,189,167,133
255,112,173,127
256,101,152,164
257,238,273,247
258,101,131,163
259,226,205,279
260,100,183,131
261,191,120,160
262,155,102,133
263,51,77,5
264,246,268,291
265,211,267,225
266,75,16,57
267,2,26,78
268,162,117,194
269,203,271,288
270,200,236,256
271,185,172,138
272,246,237,211
273,34,97,74
274,78,29,51
275,39,47,73
276,219,276,232
277,221,273,242
278,116,137,157
279,70,92,34
